doi,year
10.1021/acs.orglett.9b01326,2019.0
10.1021/acsami.2c20312,2023.0
10.1021/acscentsci.0c00411,2020.0
10.1021/acscentsci.2c01369,2023.0
10.1021/acscentsci.9b00713,2019.0
10.1021/acschembio.0c00140,2020.0
10.1021/acschembio.0c00266,2020.0
10.1021/acschembio.0c00348,2020.0
10.1021/acschembio.1c00376,2021.0
10.1021/acschembio.1c00681,2021.0
10.1021/acschembio.2c00145,2022.0
10.1021/acschembio.2c00439,2022.0
10.1021/acschembio.2c00797,2023.0
10.1021/acschembio.2c00804,2023.0
10.1021/acschembio.2c00902,2023.0
10.1021/acschembio.3c00017,2023.0
10.1021/acschembio.3c00084,2023.0
10.1021/acschembio.3c00548,2023.0
10.1021/acschembio.3c00642,2024.0
10.1021/acschembio.5b00216,2015.0
10.1021/acschembio.5b00216; 10.1021/acs.jmedchem.1c01496,
10.1021/acschembio.7b00969,2018.0
10.1021/acschembio.8b00693,2018.0
10.1021/acschembio.8b00698,2018.0
10.1021/acschembio.8b00705,2018.0
10.1021/acschembio.8b01083,2019.0
10.1021/acschembio.9b00092,2019.0
10.1021/acschembio.9b00505,2019.0
10.1021/acschembio.9b00704,2019.0
10.1021/acschemneuro.3c00096,2023.0
10.1021/acschemneuro.3c00390,2023.0
10.1021/acsmedchemlett.0c00046,2020.0
10.1021/acsmedchemlett.0c00192,2020.0
10.1021/acsmedchemlett.0c00194,2020.0
10.1021/acsmedchemlett.0c00235,2020.0
10.1021/acsmedchemlett.0c00236,2020.0
